,Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio
Rasputin - Boney M - Majestic Edit.mp3,Familiar Groovy,House,https://open.spotify.com/intl-de/track/0b18g3G5spr4ZCkz7Y6Q0Q?si=cf687e61a05140bc,0.0,128.61770254169977,0.0,1.0,0.29927573,0.16581187,0.0,6278.058771461473,2794.7819065292265,0.6109388484129824,0.5339760166197319,62.5668449197861
For You (Original Radio Edit).mp3,Familiar Groovy,House,https://open.spotify.com/intl-de/track/6jbglMwIqyg1G1N96COAsD?si=be32fce3bea847f6,0.0,128.41316561949165,0.0,1.0,0.21792744,0.16202816,0.0,8880.148003035101,3345.462197741057,1.0029544756553186,0.9036394377020176,70.73578595317726
"Earth, Wind & Fire, The Emotions - Boogie Wonderland (Audio).mp3",Familiar Groovy,Disco,https://open.spotify.com/intl-de/track/6ztstiyZL6FXzh4aG46ZPD?si=1b093aad09244344,0.0,131.67881580569596,0.0,1.0,0.19472212,0.15517579,0.0,8787.286242076061,3065.386147142105,0.3983562813949001,0.816009620128462,68.03615447822514
Simply Red - Something Got Me Started (Official Video).mp3,Familiar Groovy,Funk,https://open.spotify.com/intl-de/track/0DJnqFhVWoTDs58JPem5Zh?si=eaf0e1dbd3ee4660,0.0,112.10288967536317,0.0,1.0,0.2500926,0.1483245,0.0,8217.526677918655,2871.369876639615,0.9300823078988503,0.7328559854178942,67.83968719452591
Sérgio Mendes - Mas Que Nada (Official Audio).mp3,Familiar Groovy,Samba,https://open.spotify.com/intl-de/track/6U7GUjtamt2P0LcFod1dBT?si=ebdc3c40851d46bb,0.0,131.24545470286745,0.0,1.0,0.2611633,0.18277472,0.0,9684.898890753906,3060.88044955606,0.7581000013452952,1.0,100.0
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars.mp3,Familiar Groovy,Funk-Pop,https://open.spotify.com/intl-de/track/32OlwWuMpZ6b0aN2RZOeMS?si=ecc7a6fbda134f70,0.0,114.99969884795654,0.0,1.0,0.21729507,0.18198928,0.0,8678.515493107718,3202.910944057361,0.5258594997685226,0.7972437851369499,68.12749003984064
Bronski Beat - Smalltown Boy (Official Audio).mp3,Familiar Groovy,Synth-Pop,https://open.spotify.com/intl-de/track/5vmRQ3zELMLUQPo2FLQ76x?si=c7f3f38d9174454a,0.0,134.24119104352454,0.0,1.0,0.2112569,0.15168567,0.0,7840.38054231523,2146.2892581666692,0.2971530778615467,1.0,74.08814589665654
"Robin Thicke - Blurred Lines ft. T.I., Pharrell.mp3",Familiar Groovy,R&B,https://open.spotify.com/intl-de/track/0n4bITAu0Y0nigrz3MFJMb?si=6ce2542696c644b7,0.0,120.00036069116915,0.0,1.0,0.20348041,0.19847734,0.0,10126.365939715452,2967.429948916691,0.47429314004254497,1.0,86.33405639913232
Kylie Minogue - Can't Get You Out Of My Head (Official Video).mp3,Familiar Groovy,Dance-Pop,https://open.spotify.com/intl-de/track/3E7ZwUMJFqpsDOJzEkBrQ7?si=21b4faccc4cb40f4,0.0,125.98165277997157,0.0,1.0,0.26433554,0.1846065,0.0,11597.026818878792,2192.6345777846573,0.28255850486616524,1.0,71.53679653679653
Michael Jackson - Billie Jean (Official Video).mp3,Familiar Groovy,Dance-Pop,https://open.spotify.com/intl-de/track/7J1uxwnxfQLu4APicE5Rnj?si=02d99ab68f2044f2,0.0,116.74280359972373,0.0,1.0,0.19727969,0.15772314,0.0,10356.67022235723,3741.651877432439,0.4036882909114101,1.0,72.70114942528735
